youtube_link,p1_character,p2_character
https://www.youtube.com/embed/z4CZZ8-kh8M?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Piranha Plant,Lucina
https://www.youtube.com/embed/KrSJdmLDIsI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Sheik
https://www.youtube.com/embed/e9wK2-F6zbU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Peach
https://www.youtube.com/embed/tvGD3F9QthA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Snake,Mr. Game & Watch
https://www.youtube.com/embed/5c6VPmGIxHk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Joker
https://www.youtube.com/embed/hUInz6LaQD4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Sheik
https://www.youtube.com/embed/_vdXGJtZxNg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Wolf
https://www.youtube.com/embed/SZfjcE5euTM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sheik,Chrom
https://www.youtube.com/embed/QnB5ZKLspZA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wolf,Toon Link
https://www.youtube.com/embed/1R-qj09zgRQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mr. Game & Watch,Richter
https://www.youtube.com/embed/PUeugGiYoLA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wolf,Lucina
https://www.youtube.com/embed/eUivSqGbBKk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pikachu,R.O.B.
https://www.youtube.com/embed/V4DHNsa_AFU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Wolf
https://www.youtube.com/embed/_GDWINtuOL4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ridley,Roy
https://www.youtube.com/embed/SLNMc0h-lsU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,Jigglypuff
https://www.youtube.com/embed/RwX15a3i0PY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Byleth,Ganondorf
https://www.youtube.com/embed/OezTRyUaNtY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Fox
https://www.youtube.com/embed/tUCd3LubS7A?start=62&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Zero Suit Samus
https://www.youtube.com/embed/u4TQp67E61A?start=54&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Peach
https://www.youtube.com/embed/Re3OeBsvEaE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Zero Suit Samus,Diddy Kong
https://www.youtube.com/embed/-43uCrB5UOw?start=53&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Greninja,Zero Suit Samus
https://www.youtube.com/embed/qEJOcly_c4k?start=148&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,R.O.B.
https://www.youtube.com/embed/mmf-qIlkub4?start=113&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Diddy Kong
https://www.youtube.com/embed/2aO-jtooENg?start=156&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,Fox
https://www.youtube.com/embed/BAg_Uqg_3gE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Greninja,Shulk
https://www.youtube.com/embed/GOmYk3dIylA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,R.O.B.
https://www.youtube.com/embed/aaIA1GC9ONA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Zero Suit Samus,Snake
https://www.youtube.com/embed/ygDa-6VIJu0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Shulk,Ness
https://www.youtube.com/embed/RAoi5aCpNXY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Peach,Young Link
https://www.youtube.com/embed/tvREz7B_8Gk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Diddy Kong
https://www.youtube.com/embed/t-ntpuFd0OA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Villager,R.O.B.
https://www.youtube.com/embed/P-kXW3hk3ak?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Zero Suit Samus
https://www.youtube.com/embed/qccZDIgIw98?start=77&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Yoshi
https://www.youtube.com/embed/FRQs8QW_nXU?start=59&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Lucina,Mr. Game & Watch
https://www.youtube.com/embed/ac1V2HqT2g0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Wii Fit Trainer
https://www.youtube.com/embed/Fmsn52dTLMM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Young Link,Pac-Man
https://www.youtube.com/embed/bJTyxA4BkTI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,R.O.B.
https://www.youtube.com/embed/P4sgIwNDBxA?start=123&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mii Swordfighter,Falco
https://www.youtube.com/embed/b2IcRsLRJ-A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Young Link,Wii Fit Trainer
https://www.youtube.com/embed/vEHr0eKWIrg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Bowser,Mega Man
https://www.youtube.com/embed/NIEUZZQHMtk?start=134&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pokemon Trainer,Ken
https://www.youtube.com/embed/oyAKd-s8oIo?start=39&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Yoshi,Ryu
https://www.youtube.com/embed/yTmw2N6yr4s?start=38&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Pokemon Trainer
https://www.youtube.com/embed/7ybMgadyCG4?start=29&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Zero Suit Samus
https://www.youtube.com/embed/D6MMINcCPvE?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mega Man,Snake
https://www.youtube.com/embed/sXlu9YOjHUk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Zero Suit Samus
https://www.youtube.com/embed/R8z6uNjR7FI?start=37&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mega Man,Wolf
https://www.youtube.com/embed/rQKM-kiSf1Q?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mii Brawler,Yoshi
https://www.youtube.com/embed/8DOpjpS9uk4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Pichu
https://www.youtube.com/embed/HvoSOwL_qkM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mario,Rosalina
https://www.youtube.com/embed/x66ac34nu9A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Toon Link,Ryu
https://www.youtube.com/embed/5QucSVn28zM?start=74&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Zero Suit Samus,Toon Link
https://www.youtube.com/embed/92dIrAC5RRw?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Palutena,Mario
https://www.youtube.com/embed/YtOgMl0eF_U?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wolf,Joker
https://www.youtube.com/embed/P3lepL90jZM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Joker
https://www.youtube.com/embed/S6jvJ8VqVC4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Rosalina,Joker
https://www.youtube.com/embed/qIk5NNccASk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Pac-Man
https://www.youtube.com/embed/jOwQ9cOXYXI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mr. Game & Watch,Olimar
https://www.youtube.com/embed/QRdSkd5Lm5A?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Joker
https://www.youtube.com/embed/RxUS3yKBOIA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Sonic,Young Link
https://www.youtube.com/embed/55JgWQD__rI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Pichu
https://www.youtube.com/embed/k_9jQuehtj8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Joker,Palutena
https://www.youtube.com/embed/MZBR8PwIRtA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Young Link,Fox
https://www.youtube.com/embed/26Gbpdu12UA?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Joker,Peach
https://www.youtube.com/embed/nmnp04H7vCc?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Luigi
https://www.youtube.com/embed/Ys20q8cstIo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pokemon Trainer,Palutena
https://www.youtube.com/embed/PdnuCUHIegY?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Pichu
https://www.youtube.com/embed/4FSRFZ-VNAs?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Young Link,Mr. Game & Watch
https://www.youtube.com/embed/ej-IwU3hMN8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,R.O.B.,Sheik
https://www.youtube.com/embed/AClRCOyuU2g?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Zero Suit Samus,Joker
https://www.youtube.com/embed/VMD_84yOmdI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Olimar
https://www.youtube.com/embed/rYQ_9eBA44E?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Cloud,Luigi
https://www.youtube.com/embed/wBRMncV2aTk?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mega Man,Sonic
https://www.youtube.com/embed/EG_X063EibM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Wario,Peach
https://www.youtube.com/embed/kk0-etTawKg?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mario,Joker
https://www.youtube.com/embed/mWNW7NnwlZo?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mario,Chrom
https://www.youtube.com/embed/48WAPct80BM?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Inkling,Roy
https://www.youtube.com/embed/kgJDEi4inxI?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pokemon Trainer,Sheik
https://www.youtube.com/embed/ih86h0tuQIU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Palutena
https://www.youtube.com/embed/qnGEsqhaaMQ?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Sonic
https://www.youtube.com/embed/NgXZLl8aFP0?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Mario,Pichu
https://www.youtube.com/embed/OhXapfLe9OU?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Ness,Palutena
https://www.youtube.com/embed/zmAyy7Pmdy4?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Zelda,Wario
https://www.youtube.com/embed/MJRQEcRFE9M?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Inkling,Ice Climbers
https://www.youtube.com/embed/N_r9BMVplok?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pichu,Fox
https://www.youtube.com/embed/K6PY8DOyT-s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Roy,Palutena
https://www.youtube.com/embed/iwdmy20db8s?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Fox,Wii Fit Trainer
https://www.youtube.com/embed/yXCagEfymU8?&rel=0&showinfo=0&modestbranding=1&color=white&autohide=1&iv_load_policy=3&vq=hd720,Pac-Man,Palutena
